variant,seed,epoch,mIoU,boundary_f1_mean,trimap_mIoU_mean
D,42,160,0.8173060582237867,0.5876710548333691,0.4798390802223105
D,123,2,0.689214213305652,0.3954024461745944,0.3473412041948076
D,123,4,0.7314135926077102,0.5012629467297338,0.3849889235330342
D,123,6,0.7472285329112375,0.506503093668191,0.393102436893417
D,123,8,0.757092001842896,0.4949729133919077,0.3959524347612066
D,123,10,0.7646969966236876,0.5194163960777984,0.41168164827474363
D,123,15,0.7529727873297951,0.5092375206323827,0.41840975672042835
D,123,20,0.7824157547485855,0.5558844203148249,0.4353066607870051
D,123,25,0.7831982786436461,0.55008822318377,0.43608497538119273
D,123,30,0.7876670775964041,0.556551279896213,0.44241737661241703
D,123,35,0.7925792590246552,0.5609375721277248,0.4502615512861355
D,123,40,0.7950582482320244,0.5773097764929185,0.45800338255080514
D,123,45,0.7999887174867407,0.5679960765772698,0.4595066531104263
D,123,50,0.8027483762559543,0.5746256352087077,0.46508621264184713
D,123,60,0.7848840870418292,0.5766678237022156,0.45474181061735297
D,123,70,0.8004210137514803,0.5774931810515691,0.4622492210022227
D,123,80,0.7961636080286153,0.5822834690229302,0.46830963941291476
D,123,90,0.8008109307667525,0.5732156456004884,0.4655763318022239
D,123,100,0.8146744888230975,0.59227514695183,0.4829307311415522
D,123,110,0.8131456913317171,0.5864758367593682,0.4786957930569789
D,123,120,0.8150178539764565,0.5887457841862824,0.4811911630444982
D,123,130,0.8168899596339021,0.5769926843454427,0.4775500129847608
D,123,140,0.8130644575822875,0.5826227593301244,0.4781117912539797
D,123,150,0.8138211376475981,0.5873816865749616,0.4792446751145642
D,123,160,0.8175854127272235,0.5866500642631213,0.4820922880502712
D,456,10,0.7546416124220575,0.5247847933812468,0.4022634030917468
D,456,20,0.7639294806716608,0.5590557742019091,0.4367908655947759
D,456,30,0.7870104842218271,0.562522214490626,0.4474673639366612
D,456,40,0.7949429813662618,0.5299128340553284,0.4378114258839505
D,456,50,0.7957381036572,0.5653186307209442,0.45395426081416157
D,456,60,0.8062306946869336,0.5745977891057259,0.4655020654313834
D,456,70,0.8097617319503955,0.5759659175404541,0.46701270523005134
D,456,80,0.8068600008249703,0.5727828241892384,0.4610934871011973
D,456,90,0.8112773855776299,0.5777655696427868,0.46969266924403985
D,456,100,0.8083128988606717,0.5723892197223677,0.4738932907535656
D,456,110,0.8158212822298959,0.5802747333125498,0.4727127997385196
D,456,120,0.8123082671955518,0.5821264543864831,0.47544199623166267
D,456,130,0.8141371671753462,0.5883451309893105,0.4761234260169167
D,456,140,0.8174729543454325,0.584417438024016,0.4749289716077537
D,456,150,0.8157077110677873,0.5882589705243996,0.47803613774474035
D,456,160,0.8156919682045436,0.5857495259336593,0.4760772682229732
